Region,Malls,lng,lat
Central,313@Somerset,103.838394,1.300985
Central,Aperia,103.864247,1.309581
Central,Balestier Hill Shopping Centre,103.842639,1.325577
Central,Bugis Cube,103.855574,1.298161
Central,Bugis Junction,103.855553,1.299341
Central,Bugis+,103.854212,1.299577
Central,Clarke Quay Central,103.846676,1.289125
Central,The Centrepoint,103.839793,1.302112
Central,City Square Mall,103.856692,1.311472
Central,Far East Plaza,103.833657,1.30707
Central,Great World City,103.831966,1.293488
Central,Holland Village Shopping Mall,103.795502,1.310375
Central,ION Orchard,103.831986,1.304015
Central,Knightsbridge,103.836273,1.302927
Central,Liang Court,103.844718,1.291577
Central,Lucky Plaza,103.834011,1.304387
Central,Marina Bay Sands,103.860722,1.283552
Central,Mustafa Shopping Centre,103.855282,1.310044
Central,Ngee Ann City,103.834557,1.302557
Central,Orchard Central,103.839746,1.300674
Central,Orchard Gateway,103.839318,1.300806
Central,Orchard Point,103.840573,1.301439
Central,Orchard Shopping Centre,103.837775,1.301607
Central,Pacific Plaza,103.832188,1.306369
Central,Paragon Shopping Centre,103.835765,1.303633
Central,People's Park Centre,103.843991,1.285714
Central,People's Park Complex,103.842688,1.284149
Central,Plaza Singapura,103.84534,1.301022
Central,PoMo,103.848936,1.299945
Central,Raffles City,103.853285,1.293876
Central,Scotts Square,103.832977,1.305859
Central,Serangoon Plaza,103.855263,1.310883
Central,Shaw Centre,103.83189,1.306188
Central,Sim Lim Square,103.85297,1.303048
Central,Singapore Shopping Centre,103.844221,1.2981
Central,Tanglin Mall,103.823887,1.304917
Central,Tangs,103.845516,1.280729
Central,Tanjong Pagar Centre,103.846089,1.277106
Central,Tekka Centre,103.850675,1.30624
Central,The Verge,103.851445,1.305105
Central,Wheelock Place,103.830748,1.304781
Central,Wisma Atria,103.8329,1.303656
Central,Zhongshan Mall,103.846509,1.327012
Marina Centre,Marina Bay Financial Centre Tower 3,103.854598,1.279114
Marina Centre,Marina Bay Link Mall,103.853755,1.280431
Marina Centre,Marina One,103.852718,1.282331
Marina Centre,Marina Square,103.857155,1.291081
Marina Centre,Millenia Walk,103.859691,1.292793
Marina Centre,Suntec City,103.859957,1.295113
Marina Centre,CityLink Mall,103.855057,1.292149
Marina Centre,The Shoppes at Marina Bay Sands,103.859515,1.284082
East,112 Katong,103.904633,1.305511
East,Bedok Mall,103.929297,1.324903
East,Bedok Point,103.932357,1.324978
East,Century Square,103.943812,1.352421
East,Changi Airport,103.991402,1.364377
East,Changi City Point,103.963043,1.334
East,City Plaza,103.893446,1.314753
East,Downtown East,103.954858,1.376383
East,East Village,103.946306,1.331658
East,Eastpoint Mall,103.953032,1.342838
East,Katong Square,103.904304,1.305083
East,Kallang Wave Mall,103.872873,1.303173
East,Katong V,103.902989,1.30362
East,Leisure Park Kallang,103.876538,1.302198
East,Loyang Point,103.964531,1.366905
East,One KM,103.894624,1.314775
East,Parkway Parade,103.904756,1.301986
East,Paya Lebar Square,103.892736,1.318776
East,Singapore Post Centre,103.893962,1.318858
East,Tampines 1,103.945051,1.354263
East,Tampines Mall,103.944697,1.352598
East,White Sands,103.949636,1.372457
North,AMK Hub,103.848501,1.369355
North,Causeway Point,103.786369,1.43588
North,Broadway Plaza,103.845754,1.372012
North,Djitsun Mall,103.847666,1.372882
North,Jubilee Square,103.847875,1.371787
North,Junction 8,103.848846,1.350542
North,Junction Nine,103.841425,1.433233
North,Northpoint Shopping Centre,103.83614,1.429555
North,Sembawang Shopping Centre,103.824803,1.441861
North,Square 2,103.844164,1.320837
North,Sun Plaza,103.819598,1.44822
North,Thomson Plaza,103.830974,1.354813
North,Toa Payoh HDB Hub,103.84857,1.332274
North,Velocity,103.843613,1.320247
North,Woodlands Mart,103.798242,1.445496
North East,Compass One,103.895073,1.392051
North East,Greenwich V,103.869325,1.387462
North East,Heartland Mall,103.885309,1.359584
North East,Hougang 1,103.879466,1.375801
North East,Hougang Green Shopping Mall,103.887902,1.37922
North East,Hougang Mall,103.893802,1.372458
North East,myVillage @ Serangoon,103.865273,1.365206
North East,NEX,103.872224,1.350751
North East,Punggol Plaza,103.913048,1.394239
North East,Rivervale Mall,103.904472,1.392263
North East,Rivervale Plaza,103.901887,1.385376
North East,The Seletar Mall,103.87606,1.391422
North East,The Midtown,103.895139,1.370444
North East,Upper Serangoon Shopping Centre,103.878856,1.353551
North East,Waterway Point,103.901879,1.406093
North West,Beauty World Plaza,103.776457,1.342293
North West,Bukit Panjang Plaza,103.764333,1.379931
North West,Bukit Timah Plaza,103.778504,1.338348
North West,Fajar Shopping Centre,103.770879,1.383614
North West,Greenridge Shopping Centre,103.766472,1.385242
North West,Hillion Mall,103.764093,1.378698
North West,HillV2,103.76454,1.362919
North West,Junction 10,103.760111,1.380412
North West,Limbang Shopping Centre,103.743142,1.392036
North West,Lot One,103.745,1.385154
North West,Rail Mall,103.7677,1.359172
North West,Sunshine Place,103.739059,1.378267
North West,Teck Whye Shopping Centre,103.7523,1.380059
North West,West Mall,103.749225,1.350109
North West,Yew Tee Point,103.746697,1.397213
North West,Yew Tee Square,103.747135,1.398076
North West,Keat Hong Shopping Centre,103.744347,1.377491
South,Alexandra Retail Centre,103.801429,1.273981
South,HarbourFront Centre,103.820242,1.264354
South,Queensway Shopping Centre,103.803254,1.287475
South,Vivocity,103.822359,1.264252
South,Alexandra Central,103.805213,1.287553
West,321 Clementi,103.765001,1.311997
West,Anchorpoint,103.805098,1.288734
West,Big Box,103.744762,1.331863
West,Boon Lay Shopping Centre,103.712397,1.346399
West,The Clementi Mall,103.764258,1.314931
West,City Vibe @ Clementi,103.76519,1.314201
West,Fairprice Hub,103.678509,1.327094
West,Gek Poh Shopping Centre,103.697746,1.348703
West,IMM,103.747052,1.334498
West,Jcube,103.740219,1.333247
West,Jem,103.743488,1.333002
West,Jurong Point,103.706764,1.339486
West,Pioneer Mall,103.697203,1.34171
West,Rochester Mall,103.788177,1.305249
West,The Star Vista,103.788424,1.306753
West,Taman Jurong Shopping Centre,103.720274,1.334652
West,Tiong Bahru Plaza,103.827207,1.286317
West,West Coast Plaza,103.765881,1.303655
West,Westgate Mall,103.742804,1.334509
,,,
,,,